#transitid  obstime  fluxbpint  fluxbpinterror  fluxrpint  fluxrpinterror  bpimagequality  rpimagequality  nu  dnu  flagspe  provenance  run  apflags  obsobmt  bpwinal  bpwinac  rpwinal  rpwinac
111168608506634597 2019-05-01T06:35:42.000000 343553.0 279.046 131034.0 172.44 6.2537 7.9526 0.001802 3.29658e-07 0 384236 4397 0 173700950282094242 14629 37 22460 97
111172700817248448 2019-05-01T08:22:16.000000 358449.0 287.197 132838.0 175.973 6.56091 8.51725 0.00184703 3.33474e-07 0 384149 4397 0 173707344516750044 14639 27 22428 64
111984454191431871 2019-05-16T00:40:34.000000 342450.0 278.617 129518.0 171.463 6.34302 7.73442 0.00182839 3.42837e-07 0 386327 4414 0 174975708660753704 14647 -31 22383 -26
90997457967386910 2018-05-01T11:45:16.000000 336253.0 276.069 132082.0 173.156 6.77217 9.02889 0.00183677 3.40201e-07 0 333072 3621 0 142183527060487038 14683 -20 22219 -88
91011291128033552 2018-05-01T17:45:29.000000 336090.0 275.996 130200.0 171.885 6.48995 8.9189 0.00179059 3.26603e-07 0 333178 3622 0 142205141374781059 14617 -23 22493 51
93294006032588936 2018-06-12T00:27:30.000000 358682.0 285.12 134004.0 174.376 6.66555 8.58398 0.00181822 3.20471e-07 0 339711 4005 0 145771883411692233 14626 49 22469 112
95003444016075432 2018-07-12T22:20:51.000000 353694.0 283.192 133823.0 174.275 6.59517 7.76024 0.00183328 3.31926e-07 0 343456 4041 0 148442880765529077 14641 -33 22414 -10
96472854591739384 2018-08-08T12:04:19.000000 339674.0 277.48 130176.0 171.891 6.94844 10.5333 0.0018456 3.39565e-07 0 347921 4077 0 150738834789209682 14692 35 22180 -43
96468762262245622 2018-08-08T10:17:45.000000 334426.0 275.331 131567.0 172.807 6.81509 9.11867 0.00182347 3.39969e-07 0 347942 4077 0 150732440524962254 14679 35 22219 -26
104696423248618992 2019-01-04T05:25:21.000000 353504.0 284.588 132184.0 175.145 6.62413 8.50094 0.00183473 3.2955e-07 0 366866 4258 0 163588160814820883 14636 41 22443 89
102983255082726226 2018-12-04T05:48:13.000000 342618.0 278.653 131321.0 172.628 6.36734 8.54229 0.00187479 3.38099e-07 0 363507 4226 0 160911333851893743 14621 -37 22489 27
102979162807874634 2018-12-04T04:01:38.000000 341416.0 278.195 130848.0 172.356 6.50042 7.79477 0.00182399 3.39827e-07 0 363493 4226 0 160904940873731049 14662 -36 22313 -66
114111477342823673 2019-06-23T11:47:59.000000 345796.0 281.454 130769.0 174.299 6.30132 8.08138 0.00180796 3.34949e-07 0 392128 4483 0 178299182838307833 14632 37 22443 88
114115569626432103 2019-06-23T13:34:33.000000 352235.0 282.544 131428.0 172.747 6.53863 8.54784 0.00185969 3.37118e-07 0 392081 4483 0 178305575326072204 14652 49 22380 60
