#transitid  obstime  fluxbpint  fluxbpinterror  fluxrpint  fluxrpinterror  bpimagequality  rpimagequality  nu  dnu  flagspe  provenance  run  apflags  obsobmt  bpwinal  bpwinac  rpwinal  rpwinac
108476510980719690 2019-03-13T14:01:19.000000 9973.08 48.5284 5204.31 35.4953 5.93156 9.1161 0.00174886 1.87244e-06 1 376984 4344 0 169494546192257124 14657 -34 22365 -41
109485809140560035 2019-03-31T20:02:46.000000 9771.13 47.9154 5137.71 35.0795 5.77778 9.56023 0.00170295 1.7691e-06 1 379331 4365 0 171071574566362589 14619 36 22499 118
99430849535817519 2018-10-01T00:04:36.000000 9515.57 47.3832 5068.84 34.9437 6.16242 8.85407 0.0017241 1.93653e-06 1 354971 4136 0 -9999 -9999 -9999 -9999 -9999
99434941821280977 2018-10-01T01:51:11.000000 10110.8 48.657 5214.32 35.2559 6.22496 9.16651 0.00171175 1.7758e-06 1 355014 4136 0 -9999 -9999 -9999 -9999 -9999
106745430074208617 2019-02-10T06:45:36.000000 9713.77 47.8827 5150.46 35.2426 6.02839 8.13356 0.00170629 1.92857e-06 1 372162 4303 0 166789732275340886 14660 50 22331 42
106749522349041507 2019-02-10T08:32:09.000000 9624.4 47.5099 5004.96 34.8824 5.93732 9.92964 0.00171163 1.83197e-06 1 372186 4303 0 166796126455236471 14685 51 22234 -3
117016631953900447 2019-08-15T00:41:14.000000 9904.41 48.2587 5147.24 35.2993 5.66525 9.29957 0.00174938 1.87713e-06 1 401285 4557 0 182838485212213985 14654 -38 22370 -43
118840705525880022 2019-09-17T00:27:47.000000 9385.35 47.0539 5046.08 34.8786 6.15281 10.518 0.00170604 1.93319e-06 1 406304 4598 0 185688600168777931 14686 44 22190 -28
119837171582907365 2019-10-05T00:59:40.000000 9726.28 47.8968 5111.12 35.1385 5.89518 7.9273 0.00172384 1.91646e-06 1 408593 4622 0 187245578382890827 14664 -25 22315 -52
119841263853297892 2019-10-05T02:46:15.000000 10118.8 48.6716 5188.03 35.266 5.80149 9.48931 0.00173331 1.78676e-06 1 408612 4622 0 187251972555190167 14626 -26 22465 24
130009808810939666 2020-04-06T00:01:15.000000 9350.63 46.8694 4969.85 34.6378 6.09031 10.574 0.00172015 1.94934e-06 1 434967 4833 0 203140324051730388 14686 28 22186 -46
165653476140004123 2022-01-10T14:33:08.000000 9638.73 47.7033 5168.08 35.3128 6.01913 8.87425 0.0017064 1.94194e-06 1 527483 5770 0 258833554253399275 14663 5 22322 -15
159778835887341724 2021-09-26T08:46:11.000000 9852.12 48.1879 5082.71 35.1502 5.89828 8.76643 0.00175576 1.89375e-06 1 511742 5650 0 249654428858415338 14649 33 22389 47
170036960515109325 2022-03-30T20:55:43.000000 9891.58 48.5392 5246.65 35.6087 6.04876 9.24539 0.00172156 1.8306e-06 1 539047 5864 0 265682748589117239 14665 -14 22332 -34
165616069087514924 2022-01-09T22:19:03.000000 9881.63 48.459 5139.19 35.2776 5.7945 8.92125 0.00173772 1.85442e-06 1 527323 5769 0 258775105734109033 14641 8 22426 39
