#transitid  obstime  fluxbpint  fluxbpinterror  fluxrpint  fluxrpinterror  bpimagequality  rpimagequality  nu  dnu  flagspe  provenance  run  apflags  obsobmt  bpwinal  bpwinac  rpwinal  rpwinac
100261271473657722 2018-10-16T00:19:30.000000 20746.4 69.2574 7872.83 43.1782 7.05891 11.7258 0.00184481 1.41929e-06 1 356666 4158 0 -9999 -9999 -9999 -9999 -9999
100271012457616793 2018-10-16T04:33:11.000000 20683.3 69.0748 8014.0 43.4437 7.01393 10.591 0.00183632 1.42181e-06 1 356624 4158 0 -9999 -9999 -9999 -9999 -9999
100275104785937927 2018-10-16T06:19:45.000000 22252.5 71.6842 8339.09 44.366 7.10505 8.90847 0.0018453 1.34428e-06 1 356615 4158 0 -9999 -9999 -9999 -9999 -9999
100284845667267762 2018-10-16T10:33:26.000000 21510.1 70.455 8128.06 43.7693 7.01572 8.42282 0.00183897 1.39335e-06 1 356674 4158 0 -9999 -9999 -9999 -9999 -9999
100288937952859478 2018-10-16T12:20:01.000000 22626.1 72.6577 8199.69 43.9481 7.11449 8.60374 0.00186138 1.35653e-06 0 356683 4158 0 -9999 -9999 -9999 -9999 -9999
110978649242399909 2019-04-27T20:08:37.000000 21700.6 70.6155 8116.3 43.6536 6.35674 8.78268 0.00183076 1.32574e-06 1 383554 4393 0 173404137225686007 14624 39 22484 112
100312511666615593 2018-10-16T22:33:57.000000 21097.5 69.6292 8155.66 43.7573 6.93254 9.0966 0.00181851 1.34938e-06 1 356798 4160 0 -9999 -9999 -9999 -9999 -9999
100741308613022188 2018-10-24T16:41:08.000000 22422.8 72.0724 8205.91 43.9989 7.01504 8.02656 0.00183981 1.36569e-06 1 357837 4169 0 -9999 -9999 -9999 -9999 -9999
100745400866497791 2018-10-24T18:27:43.000000 22313.0 71.653 8280.07 44.0335 6.98367 8.57089 0.00184048 1.33037e-06 0 357862 4169 0 -9999 -9999 -9999 -9999 -9999
100755141672973662 2018-10-24T22:41:24.000000 21525.3 70.4523 8165.67 43.8905 6.89936 8.04778 0.00184143 1.39064e-06 1 357805 4169 0 -9999 -9999 -9999 -9999 -9999
100759233973629168 2018-10-25T00:27:59.000000 22300.4 71.8441 8172.68 43.9173 6.88023 8.92765 0.00183645 1.32925e-06 1 357822 4169 0 -9999 -9999 -9999 -9999 -9999
100773067254961708 2018-10-25T06:28:14.000000 21599.8 70.5688 8306.2 44.2742 7.09937 11.2515 0.00185058 1.3853e-06 1 357860 4169 0 -9999 -9999 -9999 -9999 -9999
111942399736562465 2019-05-15T06:24:32.000000 21684.1 70.7315 8147.73 43.9299 6.64392 8.09214 0.00184306 1.39667e-06 1 386168 4412 0 174909997372968199 14650 -35 22370 -37
105733399186293778 2019-01-22T23:33:39.000000 22561.0 72.0645 8131.21 43.8464 6.77291 9.01624 0.00187227 1.37335e-06 1 369686 4283 0 165208434012915078 14656 -29 22368 -35
102993558665451255 2018-12-04T10:17:56.000000 21800.6 71.1167 8081.28 43.6834 6.39985 7.98919 0.00184875 1.39706e-06 1 363487 4226 0 160927433199162833 14645 -41 22394 -32
113904040698606336 2019-06-19T17:44:44.000000 20751.5 69.0808 8027.73 43.4124 6.04238 8.54976 0.00178783 1.35628e-06 0 391640 4479 0 177975061376551023 14618 46 22486 125
90927742867355212 2018-04-30T05:29:19.000000 21576.9 70.5556 8069.81 43.6971 6.70261 8.19954 0.00184274 1.39478e-06 1 332980 3620 0 142074596014582019 14665 -24 22300 -59
90931835158455297 2018-04-30T07:15:53.000000 22667.7 72.1926 8136.04 43.6841 6.83501 8.41223 0.00184342 1.32311e-06 0 333040 3620 0 142080990218882703 14630 -25 22453 17
113908132969637761 2019-06-19T19:31:17.000000 22036.7 71.2196 5396.19 nan 6.47428 nan 0.00206872 1.31381e-06 15361 391606 4479 0 177981455549612726 14636 47 22435 -1910
93100339540432263 2018-06-08T12:22:58.000000 21726.2 70.774 7870.46 43.0773 9.16305 10.7272 0.00184583 1.39437e-06 0 339385 4002 0 145469278316903788 14694 50 22186 -24
96095452570351528 2018-08-01T16:14:57.000000 6195.3 nan 19796.2 nan nan nan 0.00139034 nan 13521 347140 4070 0 150149142425724155 14627 23 22467 -1949
