#transitid  obstime  fluxbpint  fluxbpinterror  fluxrpint  fluxrpinterror  bpimagequality  rpimagequality  nu  dnu  flagspe  provenance  run  apflags  obsobmt  bpwinal  bpwinac  rpwinal  rpwinac
103806349721006833 2018-12-19T03:10:34.000000 263488000.0 91618.6 147122000.0 68514.4 68.5429 8.37761 0.00175076 1.20897e-07 0 365210 4242 0 162197421424185690 14622 20 22490 95
103820182789198856 2018-12-19T09:10:46.000000 258361000.0 90753.5 154708000.0 70256.8 5.66609 10.1117 0.00177422 1.30358e-07 0 365193 4242 2 162219035593402681 14689 22 22197 -49
104701057589330676 2019-01-04T07:28:16.000000 266552000.0 92164.5 152944000.0 69870.2 5.52402 8.32186 0.00174751 1.28789e-07 0 366936 4258 0 163595402469599064 14653 -41 22373 -42
115360899116193571 2019-07-16T02:02:47.000000 270668000.0 92906.5 151201000.0 69465.1 5.41266 8.29729 0.00171018 1.22921e-07 0 395495 4506 2 180251404854575391 14647 35 22392 57
116739321213657438 2019-08-10T00:22:42.000000 270368000.0 92810.1 152660000.0 69790.9 5.54022 9.78546 0.00170585 1.17733e-07 0 400243 4552 2 182405189382395337 14674 -49 22279 -96
124373637337338465 2019-12-26T01:56:13.000000 273192000.0 93335.7 149669000.0 69122.6 5.46094 8.07762 0.00169298 1.22186e-07 0 420277 4719 2 194333808325099700 14639 30 22416 64
125481004289245402 2020-01-15T02:31:14.000000 264787000.0 91859.5 152411000.0 69752.8 5.37104 8.45001 0.00169306 1.23489e-07 0 422663 4741 2 196064069187032788 14650 -50 22382 -46
96321736018122662 2018-08-05T18:34:12.000000 271948000.0 93128.9 154056000.0 70122.3 5.73405 7.91934 0.00178547 1.29486e-07 0 347617 4074 2 150502712514100488 14645 -50 22390 -43
144251228401570773 2020-12-19T13:22:29.000000 252779000.0 89767.5 143592000.0 67691.0 5.54521 9.18076 0.00167834 1.26015e-07 0 471987 5264 0 225392544363004357 14685 22 22197 -47
94290894837523743 2018-06-30T01:02:42.000000 264656000.0 91824.7 146965000.0 68483.6 5.7737 8.64256 0.00185071 1.37589e-07 0 341904 4026 0 147329523169197699 14675 23 22252 -24
136770717737567023 2020-08-06T06:33:13.000000 263335000.0 91609.4 153185000.0 69923.8 5.28644 8.52813 0.00170077 1.24229e-07 0 453677 5036 2 213704246450266750 14652 -50 22368 -53
154652661138252093 2021-06-25T15:43:10.000000 273686000.0 93387.3 153302000.0 69924.0 5.50122 8.54233 0.00171323 1.17175e-07 0 497888 5545 0 241644783013224572 14627 -40 22466 9
167684707713291155 2022-02-16T08:01:15.000000 247130000.0 88764.9 138780000.0 66553.1 5.85634 9.35925 0.00169523 1.31512e-07 0 532055 5811 0 262007355787944908 14685 38 22201 -28
166178494943998913 2022-01-20T02:20:53.000000 266084000.0 92091.9 151541000.0 69532.0 5.75515 8.48721 0.00169917 1.23783e-07 0 528346 5780 0 259653898335305033 14664 -52 22315 -81
93534359900561611 2018-06-16T08:39:43.000000 273802000.0 93399.1 152502000.0 69758.0 5.76774 9.43241 0.00175516 1.27924e-07 0 340197 4011 2 146147437329695775 14675 -28 22284 -71
157554974312014102 2021-08-17T03:31:22.000000 269332000.0 92638.0 151093000.0 69443.1 5.51414 9.40604 0.00171349 1.18394e-07 0 504824 5605 2 246179647347928434 14675 -47 22284 -92
93544100743632199 2018-06-16T12:53:24.000000 277258000.0 94033.4 154102000.0 70120.2 5.76187 7.87463 0.00178612 1.27153e-07 0 340139 4011 0 146162657398014424 14642 -29 22403 -12
114203690135631313 2019-06-25T03:44:28.000000 271924000.0 93096.2 161052000.0 71681.8 5.65948 9.84187 0.00171786 1.17714e-07 0 392274 4484 0 178443265822305537 14670 -38 22305 -73
114213430939121109 2019-06-25T07:58:09.000000 265240000.0 91927.4 153112000.0 69885.0 5.32921 8.19528 0.00167586 1.18565e-07 0 392248 4484 2 178458485827260663 14622 -39 22474 20
127105493089056115 2020-02-13T11:31:23.000000 263835000.0 91684.6 148398000.0 68803.1 72.9 8.61038 0.00170649 1.17705e-07 0 427030 4772 2 198602332936449316 14624 37 22480 108
134588381719045883 2020-06-27T19:16:11.000000 263967000.0 91709.9 147874000.0 68697.4 5.45669 9.00212 0.00169814 1.22136e-07 0 446949 4954 2 210294346421494079 14677 -40 22238 -103
146932230900556049 2021-02-06T00:53:36.000000 255677000.0 90260.5 143952000.0 67781.8 5.38041 8.74321 0.00167555 1.23222e-07 0 478285 5316 2 229581610766779345 14672 41 22281 9
154648568864060883 2021-06-25T13:56:35.000000 264838000.0 91878.8 159037000.0 71240.5 5.53362 8.82063 0.00169959 1.2424e-07 0 497890 5545 2 241638388835161206 14667 -39 22302 -73
134592473995072027 2020-06-27T21:02:46.000000 275520000.0 93738.2 152690000.0 69802.8 5.3805 9.13789 0.00173017 1.1938e-07 0 446938 4954 2 210300740602599367 14640 -40 22421 -17
145167907023397449 2021-01-05T03:12:15.000000 269820000.0 92714.9 151768000.0 69587.6 5.49197 9.61196 0.00170003 1.18607e-07 0 473662 5281 2 226824854709582652 14678 -41 22275 -90
185649556467536241 2023-01-07T05:21:37.000000 266396000.0 92163.1 147103000.0 68528.8 5.87213 8.29078 0.00172898 1.21336e-07 0 580944 6214 0 290077431966487844 14641 36 22426 73
188413576521500549 2023-02-26T04:54:15.000000 63057400.0 91051.1 148841000.0 68928.9 nan 8.85439 0.00145542 1.25279e-07 0 587329 6356 2 294396213300566581 14658 33 22346 28
