#transitid  obstime  fluxbpint  fluxbpinterror  fluxrpint  fluxrpinterror  bpimagequality  rpimagequality  nu  dnu  flagspe  provenance  run  apflags  obsobmt  bpwinal  bpwinac  rpwinal  rpwinac
90781698087216928 2018-04-27T13:57:27.000000 174161.0 198.795 222985.0 224.856 4.34497 9.60908 0.00151552 2.92673e-07 0 332631 3617 0 141846402248225937 14637 35 22436 77
90785790349464890 2018-04-27T15:44:02.000000 176038.0 199.952 227187.0 226.961 4.43621 10.2785 0.00158497 3.28078e-07 0 332603 3617 0 141852795206105112 14644 36 22405 60
92798632520848197 2018-06-03T01:26:40.000000 164237.0 193.056 223582.0 225.158 4.50251 11.7075 0.001497 2.98063e-07 0 338439 3996 0 144997862300074928 14685 -38 22201 -116
92802724800680205 2018-06-03T03:13:15.000000 175663.0 199.761 227983.0 227.385 4.44511 10.1221 0.00150469 2.85484e-07 0 338894 3999 0 145004256487595320 14638 -39 22427 -14
100347932867974399 2018-10-17T14:07:44.000000 173525.0 198.506 223659.0 225.196 4.43109 9.71814 0.00150891 2.97123e-07 0 356831 4160 0 -9999 -9999 -9999 -9999 -9999
100352025166141229 2018-10-17T15:54:18.000000 173103.0 198.284 224361.0 225.55 4.51086 10.2247 0.00152256 2.9196e-07 0 356786 4160 0 -9999 -9999 -9999 -9999 -9999
101223217450758646 2018-11-02T09:59:45.000000 173524.0 198.46 225613.0 226.181 4.5858 10.5468 0.00151786 3.0557e-07 0 358818 4177 0 158161275051848228 14665 -26 22332 -48
101232958312707051 2018-11-02T14:13:23.000000 166708.0 194.465 219173.0 222.915 4.524 10.7063 0.00149781 2.86338e-07 0 358888 4178 0 158176496350566429 14620 -27 22484 37
103060712566091805 2018-12-05T15:26:35.000000 167945.0 195.21 224155.0 225.428 4.37284 10.8203 0.00150209 2.71761e-07 0 363580 4228 0 161032361169168911 14618 51 22502 138
110708316380906562 2019-04-22T22:39:13.000000 171286.0 197.252 222498.0 224.631 4.35476 10.4518 0.00152335 2.98348e-07 0 382907 4388 0 172981743331203338 14654 -29 22366 -35
113596723878740309 2019-06-14T04:25:05.000000 170676.0 196.787 223507.0 225.136 4.29127 10.4891 0.00151148 2.95324e-07 0 390789 4469 0 177494880047335831 14650 -36 22386 -34
121049291473162269 2019-10-26T23:04:34.000000 165071.0 193.56 3916.19 31.0561 4.28907 17.0615 0.0018491 4.86803e-07 6144 412162 4644 0 189139515712197840 14678 42 22226 -14
122156657190392636 2019-11-15T23:39:37.000000 367690.0 806.982 228780.0 676.689 0.806945 3.49911 0.00152349 6.149e-07 0 415404 4676 0 190869775847246326 14642 -39 22411 -20
