#transitid  obstime  fluxbpint  fluxbpinterror  fluxrpint  fluxrpinterror  bpimagequality  rpimagequality  nu  dnu  flagspe  provenance  run  apflags  obsobmt  bpwinal  bpwinac  rpwinal  rpwinac
90642309573514828 2018-04-25T01:28:41.000000 17895.9 64.3523 10171.0 48.7524 6.10927 10.2313 0.00172164 1.40395e-06 1 332452 3615 0 141628606493692255 14690 42 22178 -34
92438534756254906 2018-05-27T13:09:48.000000 19056.6 66.8061 10315.5 49.1154 5.84221 7.88162 0.00174855 1.40162e-06 1 337608 3988 0 144435208341614016 14654 -39 22362 -46
100404360714678381 2018-10-18T14:35:47.000000 18834.0 65.8598 10306.6 49.0012 6.00969 9.46836 0.00171067 1.30262e-06 1 356878 4162 0 -9999 -9999 -9999 -9999 -9999
100408453030929111 2018-10-18T16:22:21.000000 19656.7 67.3151 10536.3 49.4963 6.08074 8.94699 0.00172558 1.29062e-06 0 356895 4162 0 -9999 -9999 -9999 -9999 -9999
101620769964967370 2018-11-09T14:30:12.000000 18755.2 65.8963 10254.8 48.9529 5.92073 8.20992 0.00173915 1.40296e-06 1 359636 4194 0 158782450855060547 14654 -41 22354 -52
103209809012069135 2018-12-08T08:07:25.000000 18392.1 65.2153 10414.4 49.302 5.90999 9.52192 0.00172981 1.38456e-06 1 363942 4231 0 161265324366505216 14686 48 22202 -17
110288623029981863 2019-04-15T08:30:11.000000 18386.8 65.2163 10283.5 49.0067 5.79488 10.0257 0.00173725 1.38487e-06 1 382174 4380 0 172325971269354681 14684 -29 22208 -104
110292715327509820 2019-04-15T10:16:45.000000 19405.1 67.319 10480.6 49.5191 5.85817 9.1589 0.00175413 1.3372e-06 1 382162 4380 0 172332365483575920 14645 -30 22406 -16
113218654888669533 2019-06-07T08:20:08.000000 18853.4 66.2328 10430.6 49.4525 5.7984 8.28203 0.00172896 1.36782e-06 1 389830 4461 0 176904146048539024 14659 -36 22334 -57
113222747183575121 2019-06-07T10:06:43.000000 18577.7 65.4526 10219.4 48.9592 5.65253 9.52768 0.00172227 1.2943e-06 0 389759 4461 0 176910540258963556 14618 -37 22498 36
122009607118837659 2019-11-13T07:49:00.000000 19066.5 66.6544 10268.4 49.0459 5.72069 8.8709 0.00174653 1.3691e-06 0 414833 4673 0 190640008907923288 14649 -41 22394 -35
123449700256642698 2019-12-09T08:47:49.000000 18802.6 65.811 10411.9 49.2884 5.62966 9.1492 0.0017213 1.30133e-06 1 418196 4700 0 192890154434866631 14626 48 22474 116
140853331347392354 2020-10-19T02:34:16.000000 18198.4 64.9389 9718.92 47.9265 5.47619 8.13779 0.00173766 1.4405e-06 1 464156 5151 0 220083328015311553 14658 44 22342 40
173175921445332393 2022-05-26T15:25:45.000000 18678.6 65.6527 10311.8 48.9957 5.72194 8.71624 0.00171912 1.33956e-06 1 547955 5928 0 270587375043719903 14633 48 22440 97
150741695520371796 2021-04-15T22:15:43.000000 18476.8 65.3501 10539.0 49.5738 5.48617 8.86407 0.00172131 1.30903e-06 1 488642 5421 0 235533897034713608 14621 -31 22485 31
134022867905599105 2020-06-17T13:57:52.000000 19277.4 66.9173 10981.8 59.1749 5.54123 1.94154 0.0017508 1.34654e-06 1 445216 4938 0 209410728887412260 14647 -28 22400 -18
174424126567801357 2022-06-18T05:14:00.000000 19181.2 66.5617 10497.2 49.4605 5.92091 9.01186 0.00174543 1.31001e-06 1 550711 5952 0 272537695546588544 14628 -32 22459 14
161591911303361771 2021-10-29T03:40:12.000000 18489.6 65.3531 10343.0 49.2084 5.87354 8.46953 0.00173424 1.38381e-06 1 517274 5686 0 252487359195492859 14663 49 22310 30
132620565775148286 2020-05-23T05:16:18.000000 19102.8 66.3832 10285.4 48.9389 5.38611 8.43856 0.00171962 1.3332e-06 1 441817 4896 0 207219631808791055 14631 48 22446 98
143649049674577017 2020-12-08T15:52:32.000000 18888.5 66.0039 10400.6 49.1733 5.48957 9.29554 0.00172072 1.30102e-06 1 470705 5253 0 224451637900686636 14622 46 22486 119
152151517890929557 2021-05-11T10:13:10.000000 19256.6 66.6265 11716.1 54.9822 5.67879 0.650857 0.00173328 1.31254e-06 1 491463 5471 0 237736744489048793 14631 49 22454 102
174420034280366175 2022-06-18T03:27:25.000000 17893.4 64.3442 6432.48 48.709 5.8964 nan 0.00194012 1.34225e-06 6145 550685 5952 0 272531301347537298 14670 -31 22287 -72
140857423619596838 2020-10-19T04:20:49.000000 18626.5 65.4815 10508.3 49.4839 5.65316 9.3501 0.00172283 1.30086e-06 1 464228 5151 0 220089722189656972 14674 45 22275 7
153667630364639525 2021-06-07T20:18:59.000000 18812.9 65.8962 10361.0 49.2796 5.4191 8.06713 0.00172977 1.39022e-06 1 495674 5521 0 240105670229447819 14650 -36 22382 -33
