#transitid, obstime, fluxbpint, fluxbpinterror, fluxrpint, fluxrpinterror, bpimagequality, rpimagequality, nu, dnu, flagspe, provenance, run, apflags, obsobmt, bpwinal, bpwinac, rpwinal, rpwinac
95156007883798102,2018-07-15T16:33:41.000000,1428120000.0,213135.0,1072480000.0,184708.0,7.4644,7.98832,0.00174503,5.99832e-08,0,343900,4045,2,148681262303941388,14624,-43,22472,15
108047839671632724,2019-03-05T20:05:23.000000,1458060000.0,215361.0,1018500000.0,180011.0,7.38229,8.58562,0.00179363,6.3628e-08,0,375798,4330,2,168824749472949113,14652,27,22368,35
114222593564874093,2019-06-25T12:00:59.000000,1466830000.0,216012.0,985084000.0,177026.0,164.007,9.35905,0.00173524,5.8738e-08,0,392325,4485,2,178472802431951011,14686,37,22186,-35
