#transitid, obstime, fluxbpint, fluxbpinterror, fluxrpint, fluxrpinterror, bpimagequality, rpimagequality, nu, dnu, flagspe, provenance, run, apflags, obsobmt, bpwinal, bpwinac, rpwinal, rpwinac
106186335518466488,2019-01-31T04:07:49.000000,5479.81,36.2657,6932.84,40.5581,4.64575,10.4291,0.00151985,1.79559e-06,1,370724,4292,0,165916147032129136,14671,-34,22276,-81
106190427807736216,2019-01-31T05:54:24.000000,5513.69,36.4386,7106.99,40.9307,4.55178,10.9353,0.00152153,1.72384e-06,1,370719,4292,0,165922541233472995,14630,-35,22461,11
93136547083744429,2018-06-09T04:09:12.000000,5307.43,35.6285,6913.23,40.3679,4.47826,10.4324,0.00150693,1.74807e-06,1,339369,4002,0,145525852603498554,14620,44,22480,117
93140639385577384,2018-06-09T05:55:45.000000,2688.82,nan,8591.77,nan,nan,nan,0.00139034,nan,13521,339378,4002,0,145532246823928495,14639,44,22434,-1949
94601567990853949,2018-07-05T15:57:11.000000,5442.48,36.9687,7068.93,41.1956,4.78778,11.1256,0.00152044,1.96884e-06,1,342567,4032,0,147814947769756795,14657,-39,22332,-60
96094246536618929,2018-08-01T15:45:23.000000,5321.17,35.7476,6952.95,40.5902,4.54201,10.5526,0.00150767,1.76315e-06,1,347176,4070,0,150147257998094213,14672,42,22261,1
96098338844874036,2018-08-01T17:31:56.000000,5190.87,35.5565,8187.38,43.9461,4.71004,13.2536,0.00145992,1.75699e-06,1,347164,4070,0,150153652229508694,14691,43,22187,-30
103426417218860149,2018-12-12T06:07:56.000000,5299.91,35.9379,7062.02,40.9124,4.37703,11.1265,0.00149629,1.7126e-06,1,364416,4235,0,161603774689114456,14669,-36,22316,-68
104928570024662136,2019-01-08T10:10:21.000000,2295.16,179.297,7333.86,189.764,nan,0.0828243,0.00139034,1.9551e-07,1,367504,4262,0,163950888448171113,14688,53,22192,-16
113916667713696995,2019-06-19T23:16:49.000000,5231.5,35.8019,7271.38,41.4335,4.32694,11.0606,0.00149305,1.83572e-06,1,391663,4479,0,177994791087261283,14662,48,22309,29
113920759980921288,2019-06-20T01:03:23.000000,5205.03,35.6025,7165.89,41.0849,4.54972,12.0721,0.00150624,1.8086e-06,1,391573,4479,0,178001185255084293,14687,49,22215,-12
116423492400988751,2019-08-04T07:12:33.000000,5262.55,35.6833,6974.31,40.7579,4.26778,10.0979,0.00150163,1.87058e-06,1,399035,4545,0,181911704661691148,14652,42,22376,54
116427584677786640,2019-08-04T08:59:07.000000,5399.99,36.2434,6940.48,40.6149,4.42165,11.3227,0.00151328,1.72468e-06,1,399129,4545,0,181918098843762039,14668,43,22319,23
124107329211385193,2019-12-21T06:14:35.000000,5183.42,35.4978,7055.73,40.933,4.21711,10.791,0.00150692,1.78128e-06,1,419722,4714,0,193917699677186110,14655,-41,22359,-51
125751320226960849,2020-01-19T23:51:07.000000,5112.04,35.302,6935.15,40.5644,4.50483,12.0264,0.00150321,1.85859e-06,1,423512,4746,0,196486435639818947,14688,47,22180,-27
182958268691395160,2022-11-19T13:07:17.000000,5272.05,35.8006,7025.72,40.8517,4.61004,10.2499,0.00150413,1.86545e-06,1,572073,6134,0,285872292614359743,14660,-3,22327,-22
182948527826973295,2022-11-19T08:53:36.000000,5345.65,36.1968,7136.57,41.2126,4.52779,11.2549,0.00150753,1.73134e-06,1,572123,6134,0,285857072514817593,14664,-3,22327,-24
