#transitid, obstime, fluxbpint, fluxbpinterror, fluxrpint, fluxrpinterror, bpimagequality, rpimagequality, nu, dnu, flagspe, provenance, run, apflags, obsobmt, bpwinal, bpwinac, rpwinal, rpwinac
110841040219321924,2019-04-25T08:22:46.000000,846495000.0,164127.0,789718000.0,158516.0,6.74468,9.69244,0.00173437,7.01362e-08,0,383372,4391,2,173189125328030172,14669,39,22304,14
99611316794352340,2018-10-04T06:15:12.000000,817067000.0,161243.0,725215000.0,151901.0,7.17028,9.05326,0.00169191,7.06471e-08,0,355344,4139,2,-9999,-9999,-9999,-9999,-9999
101021358805804578,2018-10-29T18:17:03.000000,771441000.0,156678.0,686558000.0,147803.0,7.15771,8.97847,0.00175034,7.71547e-08,0,358396,4174,2,-9999,-9999,-9999,-9999,-9999
96487588942639258,2018-08-08T18:26:51.000000,706041000.0,149889.0,711986000.0,150514.0,48.3347,8.65013,0.00166554,7.09226e-08,0,347930,4077,2,150761857707568461,14619,7,22499,86
96501421968638209,2018-08-09T00:27:05.000000,792289000.0,158778.0,765159000.0,156036.0,7.15788,9.61586,0.00172932,7.58285e-08,0,347935,4077,2,150783471811593437,14649,8,22385,19
104778543026444203,2019-01-05T17:06:38.000000,48507900.0,nan,155000000.0,nan,nan,nan,0.00139034,nan,9424,367286,4260,2,163716473469959900,14696,33,22168,-49
113991915150034534,2019-06-21T07:51:30.000000,768192000.0,156349.0,689695000.0,148150.0,7.04642,10.2957,0.00168518,7.23685e-08,0,391729,4480,2,178112367407330503,14657,31,22353,28
118352988884194731,2019-09-08T04:38:22.000000,1013580000.0,179598.0,825807000.0,162103.0,6.35903,8.53943,0.00166952,6.08531e-08,0,405186,4587,2,184926545117068306,14645,-29,22398,-12
118841314585776241,2019-09-17T00:35:29.000000,748010000.0,154289.0,806418000.0,160183.0,7.14807,9.77054,0.00162369,6.70377e-08,0,406320,4598,2,185689554025511217,14683,19,22227,-41
189962648374122384,2023-03-26T05:23:33.000000,50291300.0,nan,173226000.0,nan,nan,nan,0.00139034,nan,9360,591884,6414,2,296816638069952812,14696,30,22168,-51
