#transitid, bp samples (60), rp samples (60)
110684342742685101,[18179 18216 18246 18276 18290 18343 18377 18433 18476 18552 18659 18774
 18935 19151 19644 22891 30859 36562 38198 39398 39896 40314 40547 40820
 40749 40734 40290 40072 39686 39487 39194 38714 37702 37145 36207 35209
 33749 32123 29775 27621 25746 24891 24473 24448 24481 24548 24580 24163
 23227 23015 22762 22185 21319 20331 19399 18858 18649 18552 18461 18398],[28777 28789 28848 28930 28994 29093 29278 29554 30059 31227 32980 34763
 35536 35700 35713 35824 35941 35990 36007 35973 35977 35945 35996 35953
 35836 35922 35851 35799 35709 35514 35415 35173 35155 34845 34644 34343
 33954 33689 33338 32907 32547 32096 31590 31192 30717 30326 29950 29615
 29334 29103 28941 28856 28779 28760 28733 28731 28705 28684 28684 28673]
112135460832678415,[18226 18220 18253 18283 18329 18343 18408 18456 18527 18630 18739 18860
 19072 19408 21283 28230 35271 37665 39073 39969 40359 40790 40851 40896
 40925 40709 40312 40406 39702 39476 39050 38321 37370 36779 35782 34471
 32794 30514 28224 26266 25125 24590 24629 24618 24649 24712 24101 23281
 23280 23062 22484 21596 20545 19567 18935 18676 18586 18481 18422 18424],[28730 28729 28751 28747 28766 28766 28778 28830 28864 28912 29011 29096
 29236 29485 30074 31224 33209 35202 35687 35849 35820 35919 36084 36091
 36173 36096 36109 36067 36054 36064 36076 36090 35989 35937 35830 35640
 35554 35399 35213 35086 34827 34548 34255 33849 33528 33120 32649 32207
 31718 31280 30882 30442 30074 29697 29382 29183 29006 28889 28833 28793]
113711036581050268,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
91134596709503611,[19838 19835 19857 19900 19918 19957 20005 20062 20117 20172 20318 20411
 20627 20953 22344 28642 37031 40714 42644 43731 44313 44812 45214 45467
 45633 45368 45118 45044 44606 44551 43630 42484 41724 40431 38618 36639
 33686 31080 28751 27544 27191 27143 27228 27080 26231 25830 25873 25767
 24960 23857 22499 21355 20803 20362 20228 20171 20124 20035 19973 19940],[29613 29597 29618 29633 29635 29650 29681 29712 29751 29787 29848 29931
 30159 30647 32044 34580 36555 37072 37072 37137 37356 37410 37429 37512
 37482 37527 37481 37410 37465 37401 37408 37290 37149 36952 36769 36626
 36533 36241 35944 35548 35146 34706 34292 33778 33311 32699 32245 31736
