#transitid, bp samples (60), rp samples (60)
106406853954515203,[18875 18910 18924 18953 18990 19035 19072 19149 19306 19416 19582 19772
 20074 21244 28004 39884 45066 46515 47209 47111 46952 46608 46099 45651
 44365 43106 43188 42489 41521 40337 38217 37190 36795 35035 32677 30987
 28178 25950 24034 22683 21831 21179 20911 20691 20464 20210 20110 20211
 20052 19726 19533 19329 19118 19084 19060 18983 18930 18909 18875 18842],[31358 31330 31353 31366 31364 31403 31441 31491 31540 31620 31713 31964
 32417 33450 36111 39468 40770 40951 40830 41021 41637 41795 41994 42086
 42201 42247 42267 42259 42258 42333 42307 42361 42203 42025 41822 41680
 41415 41244 40898 40557 40152 39744 39319 38765 37900 37148 36325 35456
 34669 33873 33203 32585 32155 31808 31641 31545 31463 31416 31386 43892]
93606723221088051,[19715 19736 19789 19812 19852 19934 19983 20050 20165 20334 20501 20913
 22733 29801 40362 45419 47310 48179 48208 47966 47717 47469 46831 45454
 44976 44753 43901 42869 41129 39247 38572 37084 34738 32847 29955 27539
 25492 23968 22887 22221 21830 21591 21355 21185 21025 20918 20804 20568
 20285 20074 20029 19932 19816 19843 19796 19777 19731 19708 19661 19640],[28057 28082 28065 28097 28133 28172 28188 28234 28309 28431 28698 29371
 31478 35044 37115 37437 37315 37359 37938 38308 38386 38529 38627 38702
 38782 38726 38846 38818 38855 38892 38611 38497 38403 38220 38039 37734
 37270 36816 36419 36040 35421 34819 33977 33179 32304 31443 30754 30015
 29362 28895 28549 28341 28242 28173 28118 28095 28065 28066 28042 28922]
93610815526720340,[19652 19654 19720 19707 19771 19816 19889 19986 20095 20256 20442 20898
 22090 26725 38026 45811 48043 48631 48976 49006 48801 48534 48056 47086
 45948 45922 45543 44485 43279 41141 40015 39269 37029 34668 32686 29610
 27116 24936 23565 22644 22071 21821 21583 21298 21138 21116 20919 20723
 20409 20104 19811 19663 19592 19561 19535 19514 19515 19484 19502 19507],[ 29651  29680  29711  29745  29824  29890  30087  30368  31040  32154
  34880  38173  39123  39372  39279  39771  40224  40411  40496  40540
  40626  40682  40713  40663  40762  40722  40659  40636  40403  40183
  39976  39773  39640  39214  38811  38199  37775  37189  36804  35949
  35135  34320  33551  32753  32007  31301  30681  30263  29989  29810
  29725  29680  29640  29617  29583  29576  29570  29559  29553 111093]
94399052905355069,[18046 18056 18110 18131 18194 18252 18284 18391 18514 18702 18902 19268
 20285 24135 34583 41949 43680 44257 44354 44059 43784 43553 43126 42635
 41296 40554 40607 40034 39172 38048 36258 35022 34572 33044 30858 29837
 27292 25295 23297 21894 20888 20297 19956 19747 19661 19604 19366 19113
 19027 18958 18749 18511 18257 18069 18008 17981 17972 17963 17928 17928],[28705 28711 28746 28746 28776 28819 28879 28943 29017 29135 29377 29885
 30784 32229 34662 36920 37818 37983 38046 38391 38716 38955 38973 39133
 39096 39104 39176 39168 39263 39304 39321 39129 39042 38989 38836 38601
 38443 38115 37788 37427 37102 36556 36257 35765 35314 34589 33900 33196
 32412 31659 30996 30403 29850 29427 29134 28932 28827 28763 28749 28711]
94408793677906134,[18493 18520 18534 18611 18667 18722 18836 18952 19131 19297 19617 20827
 27165 38586 44383 46251 47162 47136 47115 46698 46427 45891 44765 43747
 43591 43158 42186 40812 38703 37792 36986 34647 32692 30465 27673 25421
 23557 22288 21421 20932 20670 20413 20175 19985 19920 19884 19664 19363
 19012 18873 18686 18605 18604 18580 18491 18457 18461 18381 18367 18743],[27607 27630 27663 27714 27753 27812 27918 28092 28466 29317 31872 35578
 37046 37255 37024 37163 37952 38207 38245 38371 38344 38485 38555 38450
 38696 38692 38529 38617 38443 38193 38026 37736 37725 37314 37071 36506
 36120 35637 35228 34516 33745 32935 32015 31208 30469 29766 29127 28583
 28203 27933 27822 27750 27686 27646 27632 27614 27592 27582 27572 27567]
103716077047047563,[19613 19653 19695 19738 19811 19903 19996 20128 20344 20597 21397 23541
 32269 43969 48354 49464 49936 50168 50154 49784 49211 48431 46716 46446
 45851 44978 43711 41716 39964 39339 37410 34852 33254 30114 27442 25191
 23664 22643 21957 21698 21481 21222 21005 20969 20810 20583 20276 19985
 19751 19614 19526 19483 19452 19455 19448 19434 19425 19426 19425 19431],[28025 28025 28076 28093 28118 28154 28219 28303 28404 28645 29036 29835
 31293 34681 37617 38219 38385 38376 39038 39301 39548 39614 39670 39862
 39859 39922 40030 39935 39933 39888 39746 39600 39349 39108 38913 38606
 38255 37808 37249 36710 36227 35469 34590 33673 32705 31753 30958 30194
 29508 28970 28555 28343 28191 28130 28070 28057 28026 27991 27985 29404]
103711984769053847,[18851 18880 18926 18937 18969 18986 19040 19128 19169 19316 19400 19579
 19755 20037 20755 25776 37401 44518 46007 47035 47104 46758 46573 46235
 46063 44934 43341 43100 42968 41824 40967 39183 37220 37003 35578 33209
 31744 29115 26818 24742 23201 22111 21393 20936 20700 20626 20290 20127
 20200 20115 19893 19594 19479 19241 19089 19062 19025 18925 18929 18913],[31375 31407 31470 31500 31577 31658 31793 32028 32606 33842 36902 39935
 40888 40982 40673 41031 41599 41899 41933 41898 42094 42057 42203 42208
 42311 42265 42379 42232 42145 41930 41762 41559 41405 41120 40834 40284
 39994 39582 39082 38537 37867 37031 36261 35394 34581 33849 33194 32550
 32126 31818 31664 31546 31482 31426 31406 31385 31362 31370 31349 31321]
104583178384184095,[18237 18284 18299 18324 18388 18443 18492 18604 18716 18860 19093 19361
 20106 24982 35736 42033 43632 44520 44544 44280 43884 43568 42909 42425
 40999 40314 40407 39626 38726 37567 35508 34810 34189 32543 30609 29291
 26783 24810 23056 21862 20984 20385 20113 19975 19844 19667 19449 19435
 19270 19155 18987 18710 18536 18414 18383 18271 18265 18268 18209 40494],[28721 28743 28755 28763 28790 28816 28870 28935 29009 29095 29249 29490
 30107 31184 33869 36638 37608 37918 37569 38029 38575 38722 38723 38869
 38877 38911 38896 38995 38997 39024 39142 38974 38754 38778 38515 38380
 38151 37998 37651 37324 36889 36533 36152 35636 35087 34463 33793 33113
 32322 31575 31026 30373 29807 29426 29158 28993 28896 28836 28789 28776]
104573437572608177,[18254 18271 18286 18306 18343 18377 18442 18508 18597 18727 18821 18942
 19314 20194 22843 32457 43649 47629 48558 48999 48988 48687 48365 47549
 46060 44673 44572 43347 42400 40724 38308 37545 36104 33535 31845 29046
 26239 23861 22231 21100 20492 20155 19996 19842 19595 19413 19309 19079
