#transitid, obstime, fluxbpint, fluxbpinterror, fluxrpint, fluxrpinterror, bpimagequality, rpimagequality, nu, dnu, flagspe, provenance, run, apflags, obsobmt, bpwinal, bpwinac, rpwinal, rpwinac
111181289880965929,2019-05-01T12:06:55.000000,574341.0,362.441,289426.0,384.812,5.69119,8.23905,0.00173605,2.89567e-07,0,384180,4397,0,173720765180781650,14640,6,22413,35
111185382189098811,2019-05-01T13:53:29.000000,576928.0,361.535,289579.0,256.197,5.82703,8.66616,0.00184162,2.5851e-07,0,384260,4397,0,173727159160660273,14636,17,22435,55
111195123014574308,2019-05-01T18:07:08.000000,540293.0,350.99,281484.0,254.156,5.79837,8.69921,0.00171152,2.37449e-07,0,384169,4397,0,173742379450728247,14668,6,22281,-31
111489694142605144,2019-05-07T01:57:43.000000,539377.0,349.569,281760.0,252.738,5.90009,9.6928,0.00173872,2.45698e-07,0,385113,4404,0,174202646587439374,14685,-6,22234,-67
111499434867958389,2019-05-07T06:11:22.000000,529348.0,347.435,276971.0,252.134,5.76717,8.87565,0.00171604,2.3984e-07,0,385156,4404,0,174217866469865127,14674,-18,22271,-62
111503527135854907,2019-05-07T07:57:56.000000,548936.0,352.66,281321.0,252.543,5.87469,8.90817,0.00185553,2.59611e-07,0,385119,4404,0,174224260639960936,14649,-7,22385,-1
111513267992810172,2019-05-07T12:11:35.000000,547534.0,352.252,282216.0,252.933,5.58195,8.1262,0.00183108,2.58107e-07,0,385051,4404,0,174239480225812825,14638,-9,22415,17
111517360319820003,2019-05-07T13:58:08.000000,160163.0,347.448,511779.0,283.512,nan,10.4515,0.00139034,2.38776e-07,256,385094,4404,0,174245874989613720,14616,-20,22496,55
105927770203526304,2019-01-26T11:55:36.000000,521284.0,345.033,279906.0,253.303,6.06948,10.3923,0.00173323,2.46229e-07,0,370057,4287,0,165512140433423618,14692,-36,22192,-117
105937510981195483,2019-01-26T16:09:18.000000,548656.0,354.237,279400.0,253.246,5.69122,8.18137,0.00173867,2.4512e-07,0,370056,4287,0,165527360650076662,14647,-37,22392,-26
