#transitid, obstime, fluxbpint, fluxbpinterror, fluxrpint, fluxrpinterror, bpimagequality, rpimagequality, nu, dnu, flagspe, provenance, run, apflags, obsobmt, bpwinal, bpwinac, rpwinal, rpwinac
100249639871099224,2018-10-15T19:19:47.000000,295862000.0,97104.0,136558000.0,66014.6,6.35267,8.85556,0.00184573,1.36956e-07,0,356573,4156,0,-9999,-9999,-9999,-9999,-9999
110143720525288407,2019-04-12T17:43:42.000000,287201000.0,95695.8,124837000.0,63145.1,5.87495,7.86282,0.00188596,1.34974e-07,0,381751,4378,0,172099563306185470,14641,34,22410,65
110147812813227894,2019-04-12T19:30:16.000000,286968000.0,95620.4,130311000.0,64515.0,5.93022,8.98894,0.00192545,1.39293e-07,0,381867,4378,0,172105957506555030,14659,35,22347,30
111801899086914132,2019-05-12T17:21:21.000000,285376000.0,95347.9,132537000.0,65045.4,5.97015,8.4393,0.0018026,1.34557e-07,0,385917,4410,0,174690467308565738,14673,-50,22270,-99
113045994355446001,2019-06-04T05:16:45.000000,293032000.0,96659.5,132116000.0,64950.1,5.81904,7.86627,0.00188353,1.32968e-07,0,389410,4458,0,176634366166654929,14637,31,22426,70
113050086629753473,2019-06-04T07:03:19.000000,287213000.0,95661.2,134144000.0,65450.8,5.88382,9.139,0.00185792,1.36181e-07,0,389406,4458,0,176640760344682764,14653,31,22377,41
90787235625334383,2018-04-27T16:26:30.000000,287838000.0,95753.2,136914000.0,66095.0,6.07477,7.80924,0.00184941,1.30261e-07,0,332639,3617,0,141855055649813367,14622,-51,22474,5
92297681474205217,2018-05-24T23:57:19.000000,294965000.0,96954.1,133672000.0,65329.5,6.23994,8.84852,0.00182378,1.30406e-07,0,337249,3985,2,144215127289204637,14671,36,22302,11
92293589188100635,2018-05-24T22:10:45.000000,284609000.0,95234.0,125997000.0,63442.7,6.136,7.80309,0.00185701,1.34326e-07,0,337186,3985,2,144208733092349009,14650,36,22378,48
101742100714669947,2018-11-11T19:09:41.000000,289852000.0,96096.5,130066000.0,64441.8,6.29734,9.16811,0.001927,1.38766e-07,0,359884,4196,2,158972032351982158,14659,40,22347,36
103064915817009670,2018-12-05T17:21:10.000000,276471000.0,93869.4,131701000.0,64839.6,6.06658,8.77001,0.00185913,1.41485e-07,0,363569,4228,0,161038930949579230,14681,-41,22213,-114
120493395314778540,2019-10-16T21:41:03.000000,291740000.0,96400.3,134203000.0,65452.5,5.9095,9.46144,0.00176833,1.24261e-07,0,410480,4633,2,188270930164737009,14675,-47,22280,-94
123286278357915549,2019-12-06T09:59:13.000000,270165000.0,92797.5,129545000.0,64312.6,6.17157,8.99064,0.00174607,1.33293e-07,0,417806,4697,0,192634809919333415,14692,-44,22168,-136
184382422766207655,2022-12-15T07:25:42.000000,280160000.0,94481.6,132975000.0,65166.3,6.43522,7.92763,0.00175781,1.32259e-07,0,576176,6188,2,288097535557743402,14650,5,22374,12
184386515059922481,2022-12-15T09:12:16.000000,293271000.0,96697.7,135686000.0,65827.3,6.32751,8.29412,0.00180584,1.28059e-07,0,576181,6188,0,288103929766924775,14645,5,22402,24
184372681860903204,2022-12-15T03:12:00.000000,281001000.0,94619.7,131260000.0,64726.2,63.9582,45.0096,0.00176786,1.23848e-07,0,576316,6188,0,288082315392950648,14617,5,22497,84
184396255842543215,2022-12-15T13:25:57.000000,279328000.0,94332.3,131350000.0,64759.3,6.3765,8.86989,0.00174829,1.29286e-07,0,576131,6188,0,288119149739415975,14678,5,22239,-49
184718493552924128,2022-12-21T09:18:10.000000,293520000.0,96737.4,135153000.0,65697.7,6.3299,53.5725,0.00178441,1.27132e-07,0,577965,6195,2,288622646161898943,14645,-16,22402,1
184728234421801901,2022-12-21T13:31:51.000000,293953000.0,96808.5,133585000.0,65317.1,6.50197,7.78899,0.00176549,1.28289e-07,0,578093,6195,2,288637866269525380,14642,-16,22411,7
189472044130783904,2023-03-17T08:28:32.000000,288009000.0,95830.5,128021000.0,63947.7,6.51298,7.76576,0.00176772,1.29932e-07,0,590409,6399,2,296050068940817997,14639,10,22416,41
189476136438911294,2023-03-17T10:15:06.000000,289615000.0,96096.6,133573000.0,65313.4,6.27398,8.1273,0.00179683,1.28168e-07,0,590545,6399,2,296056463171774176,14638,11,22427,44
189485877234241760,2023-03-17T14:28:45.000000,271719000.0,93058.3,129796000.0,64374.1,6.54962,8.98041,0.00174188,1.32069e-07,0,590649,6399,2,296071683163724227,14679,11,22223,-50
189489969467533081,2023-03-17T16:15:19.000000,283843000.0,95093.2,130920000.0,64652.2,6.24236,8.97597,0.00177226,1.27471e-07,0,590390,6399,2,296078077278718574,14685,11,22238,-45
190108267815401071,2023-03-28T20:35:39.000000,280399000.0,94517.8,131587000.0,64808.2,6.4339,7.98263,0.00174268,1.26126e-07,0,592212,6418,2,297044168446614749,14624,-28,22472,31
190094434652136612,2023-03-28T14:35:26.000000,276449000.0,93847.0,132041000.0,64926.7,6.43006,8.73302,0.00174743,1.27948e-07,0,592186,6418,2,297022554128935319,14676,-26,22253,-79
190098526918858495,2023-03-28T16:22:00.000000,293812000.0,96785.3,134874000.0,65631.9,6.35648,8.34001,0.00179664,1.27486e-07,0,592200,6418,2,297028948296396952,14646,-27,22395,-15
