#transitid, obstime, fluxbpint, fluxbpinterror, fluxrpint, fluxrpinterror, bpimagequality, rpimagequality, nu, dnu, flagspe, provenance, run, apflags, obsobmt, bpwinal, bpwinac, rpwinal, rpwinac
98488931404789676,2018-09-13T23:08:30.000000,4223.23,32.3189,4211.37,32.1857,nan,nan,0.00157436,2.37427e-06,1,353011,4116,0,-9999,-9999,-9999,-9999,-9999
98498672202641542,2018-09-14T03:22:09.000000,4152.43,32.8895,4157.93,31.8832,nan,nan,0.00156232,2.48536e-06,1,353058,4116,0,-9999,-9999,-9999,-9999,-9999
99798175404668318,2018-10-07T15:20:52.000000,4278.62,32.5371,4194.65,32.0389,nan,nan,0.00158985,2.53938e-06,1,355878,4142,0,-9999,-9999,-9999,-9999,-9999
99802267713577657,2018-10-07T17:07:26.000000,4270.83,32.2825,4262.31,32.2481,nan,nan,0.00156918,2.30631e-06,1,355916,4142,0,-9999,-9999,-9999,-9999,-9999
106465262385668182,2019-02-05T05:05:29.000000,4232.41,32.1976,2941.98,nan,nan,nan,0.00171925,3.39907e-06,15361,371407,4298,0,166351970262164913,14675,-37,22288,-75
108201972541563395,2019-03-08T14:56:14.000000,4173.05,31.9336,4164.41,31.9354,nan,nan,0.00155802,2.38205e-06,1,376256,4333,0,169065579880780162,14671,51,22272,16
109325769382871266,2019-03-28T22:44:06.000000,4246.98,32.3877,4241.33,32.4838,nan,nan,0.00159669,2.47098e-06,1,379053,4362,0,170821512444988706,14652,-34,22388,-31
114774457053242554,2019-07-05T11:38:36.000000,4229.34,32.2142,4205.79,31.8449,nan,nan,0.00156514,2.41952e-06,1,393952,4495,0,179335086930394909,14633,29,22444,78
114778549368317853,2019-07-05T13:25:10.000000,1945.33,nan,6700.58,nan,nan,nan,0.00139034,nan,13457,394157,4495,0,179341481172051287,14637,29,22436,-1938
116729643279847487,2019-08-09T20:11:21.000000,4084.81,31.8604,4280.24,32.4021,nan,nan,0.00157287,2.53181e-06,1,400489,4552,0,182390065409185749,14680,46,22228,-9
118548086661497823,2019-09-11T17:22:38.000000,4187.45,32.2285,4195.62,32.1589,nan,nan,0.00158413,2.45592e-06,1,405609,4590,0,185231383192860713,14656,-38,22368,-45
119679055541839538,2019-10-02T04:12:41.000000,4032.78,31.3929,4018.6,31.3304,nan,nan,0.00155829,2.48627e-06,1,408216,4619,0,186998522068624674,14680,45,22237,-7
124905448067442598,2020-01-04T16:35:23.000000,1784.4,11.6009,45.1808,9.07593,nan,nan,0.00139034,3.28683e-05,2081,421275,4730,0,195164760389815579,14679,-22,22232,-86
124909540334032492,2020-01-04T18:21:57.000000,4159.15,32.8517,4227.31,32.2327,nan,nan,0.00159088,2.52169e-06,1,421336,4730,0,195171154556681684,14649,-22,22398,-10
125514259197485389,2020-01-15T16:50:50.000000,4229.91,32.2391,4219.48,31.897,nan,nan,0.00156751,2.41588e-06,1,422704,4741,0,196116027781806978,14627,34,22462,94
130434949462791487,2020-04-13T16:43:53.000000,4065.84,31.7159,4174.81,31.8929,nan,nan,0.00157878,2.483e-06,1,436059,4841,0,203804606320757332,14694,-12,22186,-94
129521700965232790,2020-03-28T04:19:51.000000,4336.02,32.8778,4254.52,32.3001,nan,nan,0.00157679,2.36209e-06,1,433775,4824,0,202377655542800111,14661,31,22340,21
148664726579205368,2021-03-09T08:53:59.000000,4485.24,33.6303,4190.54,32.0381,nan,nan,0.00158897,2.48984e-06,1,482630,5365,0,232288633065118776,14644,50,22405,78
165023080060044906,2021-12-30T04:45:03.000000,4114.5,31.919,4132.99,31.8727,nan,nan,0.00157921,2.61987e-06,1,525498,5754,0,257848560379089597,14654,-5,22350,-13
155877488207381660,2021-07-17T19:28:58.000000,4163.97,32.0433,4586.41,33.4455,nan,nan,0.00156517,2.48285e-06,1,500652,5571,0,243558573108215110,14657,-23,22365,-29
165027172331087499,2021-12-30T06:31:38.000000,4228.32,32.2372,4150.92,31.7818,nan,nan,0.00157317,2.40225e-06,1,525364,5754,0,257854954551691921,14634,-5,22441,32
155873395948263053,2021-07-17T17:42:24.000000,3874.84,31.0751,4063.38,31.5758,nan,nan,0.00156291,2.5793e-06,1,500658,5571,0,243552178953933457,14688,-23,22176,-109
138965527332312116,2020-09-14T23:06:22.000000,4181.07,32.7228,4295.85,32.4049,nan,nan,0.00157846,2.44662e-06,1,460087,5093,0,217133634241259593,14643,-32,22412,-16
140251249325937560,2020-10-08T05:06:16.000000,4045.05,31.6806,4160.94,31.8392,nan,nan,0.00157689,2.52149e-06,1,462911,5136,0,219142574857009984,14690,34,22202,-35
138961435036095292,2020-09-14T21:19:49.000000,4151.64,32.0816,4616.38,33.4089,nan,nan,0.00156073,2.52614e-06,1,460059,5093,0,217127240028322294,14684,-32,22204,-109
165013339213705545,2021-12-30T00:31:22.000000,4139.04,32.1963,4290.2,32.479,nan,nan,0.00157202,2.36134e-06,1,525333,5754,0,257833340306321530,14664,-5,22335,-22
148668818864648934,2021-03-09T10:40:34.000000,4224.99,32.3766,4194.1,32.0385,nan,nan,0.0015815,2.37393e-06,1,482588,5365,0,232295027261331578,14665,50,22324,36
160976074159068031,2021-10-18T00:14:29.000000,4071.56,31.7824,31810.0,85.2921,nan,nan,0.00157009,1.18287e-06,1,515450,5674,0,251525113658494121,14690,25,22202,-45
165511292190119003,2022-01-08T00:39:37.000000,4189.22,33.1104,4316.88,32.5437,nan,nan,0.00159033,2.5307e-06,1,526931,5764,0,258611391831301458,14643,18,22412,41
160059250296648219,2021-10-01T10:20:20.000000,4275.12,32.3993,4213.97,32.0002,nan,nan,0.00156476,2.48717e-06,1,512267,5656,0,250092576373083682,14617,-20,22489,51
178849734432674849,2022-09-06T05:58:45.000000,4246.67,32.9759,4173.13,32.0216,nan,nan,0.00158006,2.62916e-06,1,560741,6049,0,279452707835793564,14643,48,22408,78
134693455008125950,2020-06-29T17:02:54.000000,4573.3,33.9398,4810.41,34.1456,nan,nan,0.00156826,2.49592e-06,1,447066,4956,0,210458521235269921,14643,14,22408,40
