#transitid, bp samples (60), rp samples (60)
91051609682621458,[19001 19012 19080 19083 19124 19174 19258 19341 19475 19597 19778 19929
 20218 20916 25033 36343 45338 47752 49434 50336 50745 50728 51372 51255
 51020 50613 50353 49534 48949 47950 47062 45806 44676 43044 40764 38489
 35639 32548 29692 27682 26698 26236 26120 25920 25814 25004 24427 24681
 24401 23537 22497 21430 20475 19777 19542 19471 19332 19201 19181 19181],[31342 31346 31374 31375 31388 31432 31433 31508 31557 31628 31741 31940
 32364 33361 36285 39974 41307 41457 41373 41497 41802 41962 42006 42038
 42011 42012 41886 41957 41877 41931 41787 41630 41367 41253 40930 40668
 40562 40198 39910 39477 38874 38370 37834 37209 36502 35796 35158 34559
 33848 33237 32769 32258 31952 31702 31569 31498 31449 31414 31392 31382]
92889158355924477,[19053 19097 19123 19220 19290 19391 19559 19656 19854 20130 20606 23034
 32278 43039 46808 48508 49619 49973 50325 50516 50770 50500 50035 49753
 49245 48440 47712 46785 45504 44344 42987 41082 38865 36285 33146 30512
 28165 26684 26148 25954 25765 25642 25300 24388 24356 24338 23956 22944
 21835 20863 20034 19652 19507 19408 19246 19208 19186 19100 19008 18947],[31433 31465 31514 31583 31676 31806 32198 32935 34940 38783 40973 41204
 41243 41380 41555 41614 41769 41674 41814 41726 41597 41605 41654 41586
 41539 41576 41224 41144 40862 40658 40372 40184 39864 39412 38934 38365
 37913 37310 36608 35957 35302 34653 34064 33439 32929 32490 32062 31785
 31588 31500 31446 31407 31385 31373 31363 31322 31326 31312 31298 31307]
92893250652115426,[18087 18108 18123 18149 18177 18236 18243 18304 18401 18519 18629 18847
 19063 19518 20576 25343 37061 44710 46530 47272 48116 48470 48784 49035
 49042 48927 48374 48025 47600 46908 46279 45618 44308 43297 42060 40348
 38076 36226 33219 30411 27807 26325 25728 25657 25655 25738 25673 25133
 24113 24087 23842 23205 22018 20612 19365 18613 18293 18216 18160 18136],[28710 28734 28737 28769 28799 28838 28913 28994 29091 29289 29643 30447
 31700 34194 37130 38450 38776 38914 38979 39148 39247 39216 39355 39309
 39323 39236 39237 39202 39126 39142 38966 38931 38709 38366 38282 38077
 37722 37302 36969 36519 35914 35377 34831 34328 33649 32991 32398 31746
 31152 30622 30101 29680 29326 29053 28916 28843 28761 28731 28702 28704]
99971378001911856,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
