#transitid, obstime, fluxbpint, fluxbpinterror, fluxrpint, fluxrpinterror, bpimagequality, rpimagequality, nu, dnu, flagspe, provenance, run, apflags, obsobmt, bpwinal, bpwinac, rpwinal, rpwinac
90545581959173388,2018-04-23T07:28:48.000000,111448.0,159.255,53473.0,110.37,5.85709,7.98464,0.00174654,5.47975e-07,0,332237,3613,0,141477469595492335,14642,34,22403,59
90549674231382592,2018-04-23T09:15:22.000000,112101.0,159.573,53975.3,110.896,6.05993,8.82444,0.0017635,5.47877e-07,0,332175,3613,0,141483863770743318,14653,34,22377,44
92493717030069469,2018-05-28T13:06:10.000000,109522.0,157.725,53718.4,110.6,5.91474,8.1573,0.00173561,5.39359e-07,0,337689,3989,0,144521430645003089,14631,-40,22446,-2
100487281089081629,2018-10-20T02:35:40.000000,107150.0,155.985,52394.1,109.229,6.03569,9.53752,0.00172062,5.33095e-07,0,357091,4164,0,-9999,-9999,-9999,-9999,-9999
100491373407953408,2018-10-20T04:22:14.000000,112526.0,159.868,54129.0,111.0,6.19951,8.83543,0.00174275,5.25775e-07,0,357056,4164,0,-9999,-9999,-9999,-9999,-9999
103264996724319784,2018-12-09T08:05:14.000000,104451.0,154.022,51393.7,108.201,5.88052,9.06737,0.00172521,5.45393e-07,0,364005,4232,0,161351555165584141,14679,50,22244,1
110357637595272185,2019-04-16T14:26:55.000000,31500.1,219.387,100654.0,219.614,nan,0.142894,0.00139034,3.32165e-07,0,382303,4382,0,172433806527307757,14687,-26,22195,-105
110361729898430576,2019-04-16T16:13:29.000000,110414.0,158.546,52905.0,109.969,5.86448,8.97606,0.0017581,5.52303e-07,0,382288,4382,0,172440200750329584,14650,-26,22390,-21
111615637128246295,2019-05-09T08:30:09.000000,105332.0,154.687,52724.1,109.57,5.52949,8.73523,0.00171168,5.37495e-07,0,385367,4406,0,174399430798072031,14622,45,22482,121
113277942882025885,2019-06-08T10:03:28.000000,108747.0,157.166,52780.8,109.689,5.78526,8.99062,0.00175594,5.5493e-07,0,389898,4462,0,176996783537666590,14652,-38,22384,-37
121950049923113902,2019-11-12T05:58:58.000000,104184.0,153.814,52133.0,108.956,5.85953,8.8001,0.00171121,5.44874e-07,0,414562,4672,0,190546950788940991,14674,-38,22263,-91
121954142206878156,2019-11-12T07:45:32.000000,110314.0,158.274,53298.8,110.136,5.81002,8.8732,0.00174791,5.31646e-07,0,414618,4672,0,190553344982233053,14630,-38,22461,8
132569171576680909,2020-05-22T06:56:58.000000,106691.0,155.678,52183.9,109.005,5.57735,9.28004,0.0017234,5.27033e-07,0,441713,4895,0,207139328372454927,14618,49,22494,130
153726919985255995,2021-06-08T22:02:21.000000,109721.0,158.06,52623.3,109.497,5.78153,8.51854,0.00175719,5.48972e-07,0,495746,5523,0,240198310261389891,14648,-37,22401,-28
173124824616059359,2022-05-25T17:14:10.000000,107119.0,155.992,52504.2,109.394,6.04199,8.63262,0.00175398,5.59915e-07,0,547748,5927,0,270507536247242355,14651,50,22383,63
173120732330484753,2022-05-25T15:27:35.000000,107765.0,156.466,52757.0,109.579,6.00769,8.52707,0.00172573,5.4246e-07,0,547793,5927,0,270501142051618304,14630,49,22449,103
161660966492706078,2021-10-30T09:39:05.000000,101917.0,152.189,51557.2,108.373,6.02147,10.5432,0.00171988,5.75401e-07,1,517421,5688,0,252595257929787172,14689,48,22185,-24
150806616649647330,2021-04-17T02:25:50.000000,106886.0,155.851,52238.0,109.123,5.64996,8.01737,0.00173155,5.72089e-07,0,488760,5426,0,235635336300127973,14652,-27,22360,-33
134092172243677221,2020-06-18T20:02:06.000000,38814.4,nan,133694.0,nan,nan,nan,0.00139034,nan,13520,445542,4945,0,209519016915709987,14662,-31,22345,-26
131152847687403315,2020-04-26T16:10:07.000000,105460.0,154.789,51822.4,108.694,5.64208,8.0883,0.00174196,5.75258e-07,0,438615,4862,0,204926322296249651,14655,-36,22347,-50
152096318280742528,2021-05-10T10:14:45.000000,108066.0,156.72,52967.7,109.853,5.84126,9.11946,0.00175378,5.38422e-07,0,491364,5468,0,237650495098489086,14671,47,22302,22
164456734661207542,2021-12-19T22:58:38.000000,108124.0,156.716,52643.6,109.469,5.95912,8.36328,0.00174428,5.38256e-07,0,524238,5743,0,256963645692084702,14633,43,22444,90
152092225992147550,2021-05-10T08:28:10.000000,107275.0,156.128,52079.0,108.942,5.68907,8.11561,0.0017485,5.66858e-07,0,491446,5468,0,237644100897994667,14650,47,22374,58
140940340563578965,2020-10-20T16:20:37.000000,105829.0,155.089,55819.8,112.762,5.98057,32.7422,0.00176036,5.52749e-07,0,464352,5152,0,220219279915643878,14685,42,22229,-15
140936248308938505,2020-10-20T14:34:03.000000,104401.0,154.04,52212.1,109.069,5.72628,8.49615,0.00174071,5.68325e-07,0,464292,5152,0,220212885767348321,14668,41,22295,14
164452642404725634,2021-12-19T21:12:04.000000,32658.2,241.076,112490.0,191.233,nan,16.3976,0.00139034,6.3556e-07,0,524259,5743,0,256957251542199384,14620,43,22484,120
184020283548934837,2022-12-08T18:07:35.000000,105272.0,154.623,51915.5,108.754,6.27612,9.60478,0.0017524,5.35451e-07,0,575272,6178,0,287531690829573089,14677,-36,22270,-88
185177455858036777,2022-12-29T16:19:37.000000,106411.0,155.82,52205.0,109.094,6.37696,8.26256,0.00173807,5.63368e-07,0,579531,6204,0,289339772562414777,14657,37,22340,30
185181548155418287,2022-12-29T18:06:10.000000,107030.0,155.983,52541.3,109.417,6.29579,8.98669,0.00173869,5.39236e-07,0,579451,6204,0,289346166777477823,14673,37,22300,9
