#transitid, obstime, fluxbpint, fluxbpinterror, fluxrpint, fluxrpinterror, bpimagequality, rpimagequality, nu, dnu, flagspe, provenance, run, apflags, obsobmt, bpwinal, bpwinac, rpwinal, rpwinac
116255629090537654,2019-08-01T06:27:53.000000,289904.0,256.361,357365.0,284.605,4.36174,10.2347,0.0015214,2.35693e-07,0,398241,4529,0,181649419944038143,14650,-37,22386,-35
121740020421125073,2019-11-08T10:53:37.000000,293014.0,257.722,358962.0,285.197,4.19698,9.77841,0.00152075,2.29073e-07,0,413845,4668,0,190218780895424265,14633,23,22448,73
121753853489980553,2019-11-08T16:53:50.000000,285134.0,254.227,353650.0,283.099,4.37309,10.4802,0.00151282,2.30582e-07,0,413813,4668,0,190240395064574668,14675,23,22256,-24
122103807683766132,2019-11-15T00:46:48.000000,286638.0,254.91,356355.0,284.192,4.47659,11.4757,0.00152658,2.29239e-07,0,415198,4675,0,190787198074675339,14683,-12,22236,-75
122113548585284190,2019-11-15T05:00:28.000000,290018.0,256.433,355899.0,283.993,4.30817,9.59046,0.00152073,2.36805e-07,0,415218,4675,0,190802418232671080,14659,-13,22326,-35
122117640860132760,2019-11-15T06:47:02.000000,296148.0,259.1,362581.0,286.641,4.40222,10.2129,0.00153386,2.29322e-07,0,415266,4675,0,190808812411807072,14634,-14,22445,24
111428592600387878,2019-05-05T23:15:10.000000,283676.0,253.611,365825.0,287.932,4.55019,11.4995,0.00155232,2.49113e-07,0,384984,4402,0,174107175428494056,14687,-11,22223,-78
111438333513315974,2019-05-06T03:28:51.000000,286120.0,256.569,354387.0,284.754,4.38537,9.9054,0.00152444,2.44574e-07,0,384850,4402,0,174122395603984628,14665,-22,22296,-55
111442425796940690,2019-05-06T05:15:26.000000,296268.0,259.23,364418.0,287.378,4.39714,10.2279,0.00152639,2.5177e-07,0,384892,4402,0,174128788876670700,14645,-10,22414,12
111452166549430898,2019-05-06T09:29:06.000000,294203.0,258.247,359754.0,285.517,4.26753,9.74037,0.00155947,2.48321e-07,0,384889,4402,0,174144008018967443,14628,-10,22455,39
111784135015678633,2019-05-12T09:34:29.000000,287566.0,255.324,356835.0,284.381,4.20052,9.51425,0.00154612,2.54602e-07,0,385806,4409,0,174662709949787862,14651,21,22371,29
111788227293004057,2019-05-12T11:21:04.000000,289555.0,256.211,359443.0,285.42,4.40898,10.3592,0.00157964,2.42017e-07,0,385899,4409,0,174669104131757229,14651,22,22387,33
114173344788911661,2019-06-24T14:37:31.000000,270383.0,247.606,350364.0,281.789,4.44366,11.6487,0.00151865,2.40317e-07,0,392229,4484,0,178395850722520163,14691,-39,22179,-126
114177437072020411,2019-06-24T16:24:06.000000,295024.0,260.976,360543.0,287.307,4.40085,10.3688,0.00154307,2.38385e-07,0,392240,4484,0,178402245165907031,14643,-50,22416,-32
93379476114129017,2018-06-13T13:29:22.000000,108596.0,299.202,347002.0,334.138,nan,0.630387,0.00139034,3.61871e-07,0,339923,4008,0,145905430918721410,14649,-38,22385,-33
94844456605982909,2018-07-10T01:22:51.000000,286261.0,254.731,353350.0,282.986,4.52981,10.2236,0.00159074,2.58119e-07,0,343122,4036,0,148194462433852762,14669,49,22282,17
94848548879635907,2018-07-10T03:09:26.000000,279640.0,251.799,361377.0,286.165,4.73322,12.5726,0.00151754,2.32451e-07,0,343156,4036,0,148200857114485236,14695,49,22183,-25
96479352433341253,2018-08-08T15:01:28.000000,288648.0,257.319,360186.0,286.95,4.62886,10.6609,0.00151834,2.24593e-07,0,347878,4077,0,150748987666247429,14619,-41,22487,24
96475260139614362,2018-08-08T13:14:53.000000,287890.0,255.714,358256.0,285.022,4.53096,9.51425,0.00152717,2.36734e-07,0,347869,4077,0,150742592954943546,14658,-30,22337,-47
103124182358041936,2018-12-06T19:03:48.000000,283487.0,253.499,351727.0,282.321,4.40143,10.4991,0.00151814,2.32261e-07,0,363704,4229,0,161131534423506888,14675,42,22248,-4
103128274600761039,2018-12-06T20:50:22.000000,273055.0,248.828,355991.0,284.05,4.59515,12.314,0.00151807,2.33806e-07,0,363813,4230,0,161137928553757435,14694,43,22174,-36
104658147546910959,2019-01-03T12:47:42.000000,293105.0,257.828,364119.0,287.26,48.8421,9.52868,0.00156914,2.50685e-07,0,366897,4258,0,163528354111204100,14637,-42,22426,-15
146475268262860431,2021-01-28T18:32:13.000000,268180.0,246.591,347337.0,280.557,4.39575,11.5377,0.00151645,2.403e-07,0,476862,5307,0,228867606150623744,14688,51,22176,-24
136928333297799659,2020-08-09T03:00:25.000000,291712.0,259.61,359687.0,286.996,4.29444,10.3249,0.00153443,2.39506e-07,0,453988,5041,0,213950520267299348,14641,-40,22422,-16
152260720764666760,2021-05-13T09:32:18.000000,285369.0,254.347,353233.0,282.944,4.18492,9.5744,0.00152125,2.40269e-07,0,491680,5473,0,237907375181937876,14653,23,22369,28
164353312136524611,2021-12-18T02:11:07.000000,279392.0,251.658,352656.0,282.688,4.41916,10.7386,0.00150735,2.25578e-07,0,523994,5741,0,256802049703414953,14620,46,22484,124
157736161768809151,2021-08-20T10:11:57.000000,285515.0,254.397,358320.0,284.965,4.43497,11.037,0.00151589,2.25904e-07,0,505279,5609,0,246462751332323224,14677,-22,22270,-71
125964835324715537,2020-01-23T20:27:01.000000,291886.0,257.233,359982.0,285.596,4.18414,9.72205,0.0015217,2.28283e-07,0,423971,4750,0,196820053764277447,14627,-36,22458,11
157745902591824159,2021-08-20T14:25:38.000000,290990.0,256.894,360906.0,285.987,4.19097,9.64191,0.00151726,2.33225e-07,0,505310,5609,0,246477972289602331,14636,-23,22425,5
